unicode,emoji,name,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
1F602,☺,face with tears of joy,0.0,0.17,0.06,0.06,0.94,0.0,0.33,0.22
1F612,😒,unamused face,0.58,0.14,0.64,0.17,0.0,0.42,0.11,0.0
1F629,😩,weary face,0.33,0.25,0.5,0.47,0.0,0.75,0.14,0.08
1F62D,😢,loudly crying face,0.22,0.08,0.36,0.33,0.0,1.0,0.08,0.08
1F60D,😍,smiling face with heart-eyes,0.0,0.31,0.0,0.0,0.83,0.0,0.5,0.5
1F614,😔,pensive face,0.25,0.22,0.31,0.28,0.0,0.72,0.19,0.14
1F44C,👌,OK hand,0.0,0.36,0.0,0.0,0.22,0.0,0.22,0.56
1F60A,👀,smiling face with smiling eyes,0.0,0.42,0.0,0.0,0.92,0.0,0.33,0.47
2764,💙,red heart,0.0,0.36,0.0,0.0,0.69,0.0,0.14,0.67
1F60F,😏,smirking face,0.22,0.33,0.28,0.14,0.22,0.22,0.11,0.22
1F601,😁,beaming face with smiling eyes,0.06,0.25,0.0,0.08,0.89,0.06,0.33,0.36
1F3B6,🎶,musical notes,0.0,0.22,0.0,0.0,0.47,0.0,0.22,0.14
1F633,😳,flushed face,0.06,0.36,0.33,0.5,0.14,0.19,0.44,0.08
1F4AF,💯,hundred points,0.06,0.28,0.06,0.06,0.64,0.06,0.19,0.53
1F634,😴,sleeping face,0.0,0.06,0.14,0.0,0.03,0.03,0.0,0.03
1F60C,😌,relieved face,0.0,0.33,0.0,0.11,0.81,0.0,0.22,0.61
263A,😂,smiling face,0.0,0.42,0.0,0.0,1.0,0.0,0.39,0.5
1F64C,🙌,raising hands,0.0,0.33,0.0,0.0,0.72,0.0,0.39,0.47
1F495,😘,two hearts,0.0,0.31,0.0,0.0,0.83,0.0,0.11,0.75
1F611,😑,expressionless face,0.28,0.22,0.47,0.14,0.0,0.33,0.19,0.17
1F605,😅,grinning face with sweat,0.08,0.44,0.06,0.28,0.42,0.06,0.36,0.17
1F64F,🙏,folded hands,0.06,0.44,0.0,0.11,0.25,0.11,0.17,0.58
1F615,😕,confused face,0.19,0.42,0.36,0.36,0.0,0.39,0.28,0.17
1F618,💕,face blowing a kiss,0.0,0.33,0.0,0.0,0.72,0.0,0.17,0.61
2665,♥,heart suit,0.0,0.28,0.0,0.0,0.72,0.0,0.11,0.56
1F610,😐,neutral face,0.14,0.33,0.31,0.17,0.06,0.25,0.31,0.08
1F481,💁,person tipping hand,0.08,0.33,0.08,0.06,0.14,0.06,0.17,0.25
1F61E,😞,disappointed face,0.39,0.19,0.5,0.33,0.0,0.92,0.06,0.08
1F648,🙈,see-no-evil monkey,0.0,0.39,0.17,0.17,0.28,0.03,0.5,0.22
1F62B,😫,tired face,0.36,0.14,0.64,0.17,0.11,0.72,0.06,0.06
270C,✌,victory hand,0.0,0.42,0.0,0.0,0.61,0.0,0.17,0.47
1F60E,😎,smiling face with sunglasses,0.0,0.22,0.0,0.0,0.75,0.0,0.06,0.33
1F621,😡,pouting face,1.0,0.11,0.56,0.11,0.0,0.36,0.08,0.06
1F44D,👍,thumbs up,0.11,0.39,0.06,0.08,0.39,0.06,0.14,0.47
1F622,😭,crying face,0.25,0.08,0.36,0.5,0.0,1.0,0.08,0.11
1F62A,😪,sleepy face,0.11,0.08,0.44,0.28,0.0,0.64,0.06,0.0
1F60B,😋,face savoring food,0.0,0.47,0.0,0.0,0.78,0.0,0.19,0.11
1F624,😤,face with steam from nose,0.75,0.11,0.64,0.14,0.0,0.25,0.03,0.0
270B,✋,raised hand,0.22,0.25,0.19,0.11,0.06,0.06,0.08,0.28
1F637,😷,face with medical mask,0.03,0.17,0.53,0.5,0.0,0.22,0.03,0.11
1F44F,👏,clapping hands,0.08,0.39,0.08,0.0,0.64,0.0,0.25,0.53
1F440,😊,eyes,0.14,0.81,0.17,0.42,0.0,0.17,0.64,0.06
1F52B,🔫,pistol,0.44,0.14,0.17,0.14,0.03,0.14,0.0,0.11
1F623,😣,persevering face,0.31,0.28,0.67,0.47,0.0,0.64,0.0,0.08
1F608,😈,smiling face with horns,0.14,0.44,0.06,0.19,0.33,0.08,0.03,0.0
1F613,😓,downcast face with sweat,0.19,0.44,0.31,0.64,0.0,0.36,0.17,0.11
1F494,💔,broken heart,0.39,0.19,0.33,0.14,0.0,0.94,0.08,0.17
1F49F,❤,:heart_decoration:,0.0,0.47,0.0,0.08,0.61,0.0,0.19,0.67
1F3A7,🎧,headphone,0.0,0.08,0.0,0.0,0.44,0.0,0.0,0.03
1F64A,🙊,speak-no-evil monkey,0.06,0.44,0.19,0.47,0.14,0.08,0.42,0.28
1F609,😉,winking face,0.0,0.42,0.0,0.0,0.44,0.08,0.28,0.47
1F480,💀,skull,0.19,0.14,0.25,0.61,0.03,0.31,0.06,0.11
1F616,😖,confounded face,0.22,0.36,0.67,0.5,0.08,0.53,0.11,0.11
1F604,😄,grinning face with smiling eyes,0.0,0.36,0.0,0.0,0.86,0.0,0.28,0.28
1F61C,😜,winking face with tongue,0.0,0.42,0.0,0.06,0.64,0.0,0.28,0.11
1F620,😠,angry face,1.0,0.17,0.56,0.17,0.0,0.25,0.11,0.08
1F645,🙅,person gesturing NO,0.47,0.25,0.53,0.33,0.06,0.33,0.11,0.19
1F4AA,💪,flexed biceps,0.03,0.31,0.0,0.0,0.42,0.0,0.08,0.31
1F44A,👊,oncoming fist,0.44,0.36,0.14,0.11,0.22,0.0,0.0,0.61
1F49C,💜,purple heart,0.0,0.11,0.06,0.06,0.47,0.11,0.08,0.31
1F496,💖,sparkling heart,0.0,0.33,0.0,0.0,0.89,0.0,0.25,0.53
1F499,💟,blue heart,0.0,0.25,0.0,0.0,0.61,0.17,0.17,0.28
1F62C,😬,grimacing face,0.14,0.53,0.28,0.44,0.17,0.11,0.25,0.11
2728,✨,sparkles,0.0,0.36,0.0,0.06,0.53,0.0,0.44,0.31
